recipe_id,ingredients,
15,"50g toasted flaked almond, plus extra to serve",
16,85g diced butter,
16,350g self-raising flour,
16,¼ tsp salt,
16,1½ tsp bicarbonate of soda,
16,4 tbsp caster sugar,
16,"200ml milk, warmed to room temperature, plus a splash extra",
16,"crushed sugar cubes, to decorate",
17,"250g pack butter, softened, plus extra for greasing",
17,250g soft light brown sugar,
17,2 tsp vanilla extract,
17,4 large eggs,
17,100g plain flour,
17,250g self-raising flour,
17,100g buttermilk,
17,"2 eating apples, peeled, cored and diced to about 1cm pieces",
17,1 tsp ground cinnamon,
17,1 tsp mixed spice,
17,¼ tsp ground cloves,
17,zest 1 lemon,
17,2 tbsp melted butter,
17,2 tbsp soft light brown sugar,
17,85g currant,
17,85g raisin,
17,50g mixed peel,
17,"85g icing sugar, sifted",
17,zest and juice 1 lemon,
17,"a few sugar cubes, roughly crushed",
18,3 tbsp white wine vinegar,
18,4 large free range eggs,
18,2 toasting muffins,
18,1 batch hot hollandaise sauce (see 'Goes well with' below),
18,4 slices Parma ham (or Serrano or Bayonne),
19,"140g golden caster sugar, plus 200g extra for dusting",
19,200g plain flour,
19,1 tsp bicarbonate of soda,
19,100ml natural yogurt,
19,"2 large eggs, beaten",
19,1 tsp vanilla extract,
19,"140g butter, melted, plus extra for greasing",
19,12 tsp seedless raspberry jam,
20,2 nests medium egg noodles,
20,2 tsp cornflour,
20,2 tbsp soy sauce,
20,1 tbsp honey,
20,1 tbsp sunflower oil,
20,"250g/9oz pork tenderloin, cut into bite-sized pieces",
20,"thumb-sized piece ginger, finely chopped",
20,"2 garlic cloves, finely chopped",
20,"1 green pepper, deseeded and sliced",
20,100g mange tout,
20,1 tsp sesame seed,
21,200g self-raising flour,
21,1 tsp baking powder,
21,"1 rosemary sprig, finely chopped",
21,1 egg,
21,300ml milk,
21,"25g butter, melted and cooled, plus a knob extra",
21,2 tbsp olive oil,
21,"250g butternut squash, peeled, deseeded and cut into small cubes",
21,"100g vegetarian goat's cheese, crumbled into small pieces",
21,"handful pumpkin seeds, rocket salad and onion chutney, to serve",
22,2 eggs,
22,"2 tsp cress seeds, 2 cotton wool balls, felt-tip pens or acrylic paints",
23,800g Jerusalem artichoke,
23,squeeze lemon juice,
23,"25g unsalted butter, plus extra for dotting",
23,"5 shallots, finely sliced",
23,2 bay leaves,
23,"1 large thyme sprig, leaves picked",
23,250ml double cream,
23,"350g smoked haddock, skinned and cut into 2cm cubes",
23,25g white breadcrumb,
24,4 small lamb leg steaks,
24,2 tsp olive oil,
24,1 heaped tsp ground cumin,
24,1 tbsp sugar,
24,3 tbsp white wine vinegar,
24,"2 carrots, coarsely grated",
24,"2 spring onions, finely sliced",
24,"400g/14oz white cabbage, very finely sliced",
24,"5 sweet peppadew peppers, 2 roughly sliced",
24,3 tbsp mayonnaise,
24,"4 large pitta or flatbreads, warmed",
25,1 large onion,
25,"6 garlic cloves, roughly chopped",
25,"50g ginger, roughly chopped",
25,4 tbsp vegetable oil,
25,2 tsp cumin seeds,
25,1 tsp fennel seeds,
25,5cm cinnamon stick,
25,1 tsp chilli flakes,
25,1 tsp garam masala,
25,1 tsp turmeric,
25,1 tsp caster sugar,
25,400g can chopped tomatoes,
25,"8 chicken thighs, skinned, boneless (about 800g)",
25,250ml hot chicken stock,
25,2 tbsp chopped coriander,
26,"1 large carrot, peeled and grated",
26,2 tbsp raisin,
26,1 tbsp olive oil,
26,½ tbsp white wine vinegar,
26,1 tbsp chopped mint,
26,4-6 slices brown bread,
26,3 tbsp houmous,
27,4 skinless chicken breasts,
27,"1 large egg, beaten",
27,8 tbsp finely crushed cornflakes or panko crumbs,
27,"2 garlic cloves, crushed",
27,1-2 tbsp korma paste,
27,1 tbsp soy sauce,
27,4 tbsp ketchup,
27,2 tbsp honey,
27,2 tbsp cornflour,
28,750g/ 1lb 10oz carrots,
28,2 tbsp olive oil,
28,2 tsp cumin seed,
28,grated zest and juice 1 small orange,
28,"400g can chickpea, drained and rinsed",
28,100g/ 4oz white-rinded vegetarian goat's cheese,
28,"small bunch oregano or mint, roughly chopped",
28,75g/2½oz pomegranate seeds,
28,"warm flatbreads, to serve",
29,400g lamb mince,
29,"1 small red onion, ½ grated, ½ thinly sliced",
29,"handful parsley, roughly chopped",
29,"handful mint, roughly chopped",
29,1 tsp olive oil,
29,3 tbsp mayonnaise,
29,"2 cooked beetroot, finely chopped",
29,4 bread rolls,
29,couple handfuls watercress,
30,"200g baby new potato, halved",
30,"250g lean lamb neck, cut into 2½ cm dice",
30,"1 red pepper, deseeded and cut into large chunks",
30,"2 garlic cloves, crushed",
30,1 tbsp olive oil,
30,"1 lemon ½ juiced, ½ cut into wedges",
30,600g fresh or frozen broad bean,
30,2 tbsp mint sauce,
31,"1 small butternut squash (about 450g), peeled and cut into 2cm cubes",
31,"3 raw beetroot (about 200g), cut into 2cm cubes",
31,"2 small red onions, cut into slim wedges",
31,3 tbsp olive oil,
31,juice of ½ lemon,
31,200g fine polenta,
31,½ tsp salt,
31,50g butter,
31,60g grated cheese (we used a 50/50 mix of Parmesan and Taleggio),
31,"a big handful of rocket, to serve",
31,2 tsp freshly picked thyme leaf,
31,50g grated parmesan,
32,"2 large onions, halved and thinly sliced",
32,5 tbsp olive oil,
32,"800g waxy potato, peeled and thinly sliced",
32,6 large eggs,
33,"2 tbsp each chopped dill, parsley and mint",
33,zest and juice 1 lemon,
33,1 tbsp harissa paste,
33,500g/1lb 2oz turkey breast fillets,
33,2 tbsp white wine or water,
33,250g pack bulgur wheat or a mix- we used quinoa and bulgur mix),
33,"2 tomatoes, chopped",
33,"½ cucumber, diced",
33,100g pack pomegranate seeds,
34,"juice 2 lime, plus wedges to serve",
34,"1 red chilli, deseeded and chopped",
34,"2 garlic cloves, crushed",
34,"small bunch coriander, chopped",
34,225g large raw peeled prawn,
34,"1 avocado, stoned and skinned",
34,"1 heaped tbsp soured cream, plus extra to serve",
34,1 tbsp olive oil,
34,"1 red pepper, deseeded and sliced",
34,"4 flour tortillas and a good handful mixed salad leaves, to serve",
35,"400g self-raising flour, plus extra for dusting",
35,¼ tsp salt,
35,1 tsp baking powder,
35,"100g butter, cut into cubes",
35,"3 tbsp caster sugar, plus extra for sprinkling",
35,200ml buttermilk,
35,1 tsp vanilla extract,
35,"5 tbsp milk, plus extra for brushing",
35,"good handful small strawberries, halved",
35,small jar good strawberry jam,
35,"2 meringue nests, crumbled into chunks",
35,200ml tub clotted cream,
36,"1 big potato, cut into thin chips",
36,2 tsp olive oil,
36,½ tsp Cajun seasoning,
36,1 heaped tbsp mayonnaise,
36,1 tsp chopped chive,
36,1 tsp Dijon mustard,
36,"3 slices white or brown bread, lightly toasted",
36,"2 radishes, thinly sliced",
36,"1 baby or ½ avocado, sliced",
36,2 slices salt beef,
36,couple Little Gem lettuce leaves,
37,2 tsp olive oil,
37,"1 small onion, chopped",
37,6 pork sausages,
37,"250g chestnut mushroom, halved",
37,1 tbsp wholegrain mustard,
37,4 tbsp low-fat crème fraîche,
37,"small bunch parsley, chopped",
37,"85g ciabatta, torn into small chunks",
38,100g brown rice noodle,
38,500ml chicken or fish stock,
38,1 tbsp Thai red curry paste,
38,4 dried or fresh kaffir lime leaves,
38,1 tbsp fish sauce,
38,"200g skinless sustainable white fish, such as pollock",
38,100g raw king prawn,
38,"2 pak choi, leaves separated",
38,handful coriander leaves,
39,"100g unsalted butter, softened, plus extra for the baking sheet",
39,100g light soft brown sugar,
39,2 tbsp golden syrup,
39,175g self-raising flour,
39,"25g puffed rice cereal, such as Rice Krispies",
39,"dark chocolate chips, for decoration",
40,4 egg whites,
40,140g caster sugar,
40,2 tbsp plain flour,
40,140g ground almond,
41,100g couscous,
41,"220g can chickpea, rinsed and drained",
41,100ml hot chicken stock,
41,zest and juice 1 lemon,
41,"1 roasted red pepper, chopped",
41,25g flaked toasted almonds,
41,"handful mint leaves, chopped",
41,2 tbsp natural Greek yogurt,
41,1 tsp harissa,
42,1 tsp peppercorn,
42,200ml white wine vinegar,
42,"1 fennel bulb, thinly sliced",
42,2 bay leaves,
42,few parsley stalks (from the bunch used for the salsa verde),
42,"1kg/2lb 4oz piece British salmon fillet, skin on",
42,few lemon slices,
42,3 or 4 garlic clove,
42,"5 anchovy fillets, rinsed if packed in salt",
42,zest and juice 2 unwaxed lemons,
42,"large bunch flat-leaf parsley, leaves and stems",
42,"large bunch basil, leaves and stems",
42,4 tbsp caper drained and rinsed,
42,6 tbsp rapeseed or extra-virgin olive oil,
42,"steamed Jersey Royal potatoes, buttered, and asparagus, to serve",
43,1 tbsp olive oil,
43,"8 chipolatas, meat squeezed out and rolled into balls",
43,3 eggs,
43,"50g parmesan, grated, plus extra to serve (optional)",
43,300g spaghetti,
43,"1 head broccoli, broken into small florets",
43,"2 garlic cloves, crushed",
44,"2 large, skinless chicken breasts, halved through the middle",
44,"2 eggs, beaten",
44,75g breadcrumb,
44,"75g parmesan, grated",
44,1 tbsp olive oil,
44,"2 garlic cloves, crushed",
44,half a 690ml jar passata,
44,1 tsp caster sugar,
44,1 tsp dried oregano,
44,"half a 125g ball light mozzarella, torn",
45,4 skin-on salmon fillets,
45,"1 head broccoli, broken into florets",
45,"juice ½ lemon, ½ lemon quartered",
45,"small bunch spring onions, sliced",
45,2 tbsp soy sauce,
46,500g gooseberry,
46,3 tbsp caster sugar,
46,4 tbsp elderflower cordial,
46,juice ½ lemon,
46,350ml double cream,
47,3 large eggs,
47,"130g can tuna in olive oil, oil reserved",
47,1 large flute or baguette measuring approx 54cm,
47,2 tbsp mayonnaise,
47,"3 tomatoes, ends trimmed, thickly sliced",
47,12-24 basil leaves (depending on how herby you like it),
47,12 pitted Kalamata olives,
47,8 anchovy fillets,
47,"1 shallot, finely chopped",
47,3 tbsp olive oil,
47,1 tbsp white wine vinegar,
47,½ tsp Dijon mustard,
48,350g short pasta shapes (we used orzo ),
48,1 chicken stock cube,
48,1 tsp turmeric or a large pinch of saffron strands,
48,"85g chorizo, diced",
48,200g pack mixed cooked seafood,
48,"2 roasted red peppers,from a jar, sliced",
48,100g frozen pea,
48,2 tbsp chopped parsley,
49,1 tbsp sunflower oil,
49,"175g chestnut mushroom, diced",
49,"1 garlic clove, crushed",
49,"12 semi-dried tomato pieces in oil, drained well",
49,50g dried white breadcrumb,
49,"25g walnut, roughly chopped",
49,"small bunch parsley, leaves finely chopped",
49,1 tsp dried chilli flakes,
49,4 tsp fresh pesto,
49,2 small red or yellow peppers,
50,100ml olive oil,
50,"2 tbsp fresh thyme leaves, plus a few extra for scattering",
50,"4 garlic cloves, sliced",
50,¼ tsp dried chilli flakes,
50,"140g semi-dried tomato in olive oil, drained",
50,175g pack or jar artichoke heart in oil,
50,2 x 200g packs feta cheese,
50,85g Kalamata olive,
51,50g butter,
51,"200g onion, sliced",
51,"8 rashers back or streaky bacon, chopped",
51,"½ large cabbage, or a few handfuls sprouts, shredded",
51,"500g leftover roast or boiled potato, mashed",
51,"200g leftover roast turnip, parsnips, carrots (or any veg really), roughly chopped, then mashed",
51,"2 eggs, beaten",
51,"200g plain flour, well seasoned, plus a little extra for shaping",
51,200g fresh white breadcrumb,
51,"2 eggs, beaten with a pinch of salt and a little water",
51,"sunflower or vegetable oil, for frying",
52,"1 ready-roasted chicken, about 950g",
52,2 x packs 4 mini coriander and garlic naan bread,
52,150ml yogurt,
52,150ml light mayonnaise,
52,1 tbsp mild curry powder,
52,4 tbsp mango chutney,
52,"small bunch coriander, roughly chopped, plus extra to serve",
52,"2 large carrots, grated",
52,"1 red cabbage, shredded",
52,2 tsp black mustard seed,
53,"450g skinless, boneless chicken breast, cut into bite-sized pieces",
53,1 tbsp lime juice,
53,1 tsp paprika,
53,¼ tsp hot chilli powder,
53,1½ tbsp sunflower or groundnut oil,
53,1 cinnamon stick,
53,"3 cardamom pods, split",
53,1 small to medium green chilli,
53,½ tsp cumin seed,
53,"1 medium onion, coarsely grated",
53,"2 garlic cloves, very finely chopped",
53,"2½ cm-piece ginger, grated",
53,½ tsp turmeric,
53,1 tsp ground cumin,
53,1 tsp ground coriander,
53,1 tsp garam masala,
53,250ml organic passata,
53,"1 red pepper, deseeded, cut into small chunks",
53,"1 medium tomato, chopped",
53,85g baby spinach leaves,
53,"handful fresh coriander, chopped",
53,"chapatis or basmati rice, to serve (optional)",
54,50g butter,
54,50g brown sugar,
54,50g golden syrup,
54,"50g plain flour, sifted",
54,¼ tsp ground ginger,
54,"half a lemon, zest and 1 tsp juice",
54,1 tsp brandy,
54,"sunflower or vegetable oil, for greasing",
55,1 tsp garlic salt,
55,2 tbsp smoked paprika,
55,good pinch of sugar,
55,500g salmon fillet,
55,200ml fat-free yogurt,
55,1 tbsp chipotle paste or hot chilli sauce,
55,juice 1 lime,
55,"8 small soft flour tortillas, warmed",
55,"¼ small green cabbage, finely shredded",
55,"small bunch coriander, picked into sprigs",
55,"few pickled jalapeno chillies, sliced",
55,"lime wedges, to serve",
55,"hot chilli sauce to serve, (optional)",
56,500g raspberry,
56,500g caster sugar,
56,3 tbsp red wine vinegar,
57,"2 onions, sliced",
57,3 bay leaves,
57,1 tbsp each mustard powder and smoked paprika,
57,"1½ -2kg/3lb 5oz-4lb 8oz) pork shoulder, boned with rind attached and tied (ask your butcher to do this)",
57,140g tomato ketchup,
57,4 tbsp red wine vinegar,
57,1 tbsp Worcestershire sauce,
57,3 tbsp soft dark brown sugar,
57,"2 French stick, sliced into rolls, and coleslaw, to serve",
58,"8 chicken thighs, skin on",
58,"800g potato, cut into chunks",
58,"1 garlic bulb, broken into cloves, skin left on",
58,2 tbsp olive oil,
58,200ml chicken stock,
58,"1 lemon, halved",
58,"2 courgettes, cut into thick batons",
58,"1 red chilli, deseeded and sliced",
58,"large handful basil leaves, torn",
59,3 tbsp hoisin sauce,
59,1 tbsp clear honey,
59,1 tsp wholegrain mustard,
59,1 tbsp sesame seed,
59,30 cocktail sausages,
60,"500g medium new potato (Jersey royals if you can get them), thickly sliced",
60,"200g green bean, trimmed",
60,1 tbsp lemon juice,
60,1 tsp clear honey,
60,1 tsp wholegrain mustard,
60,3 tbsp olive oil,
60,"4 spring onions, thinly sliced",
61,320g all-butter puff pastry sheet,
61,4 tbsp ground almond,
61,"800g plum, halved and stoned",
61,25g flaked almond,
61,"3 tbsp caster sugar, plus extra to serve",
62,"800g ripe cooking plum, such as Victoria or dessert plums, halved and stoned",
62,50g light brown sugar,
62,finely grated zest 1 orange,
62,1 tsp ground cinnamon,
62,1 tsp plain flour,
62,250g plain flour,
62,150g butter,
62,80g caster sugar,
62,80g demerara sugar,
62,50g ground almond,
63,"450g dried white beans, such as haricot or cannellini, soaked overnight in water",
63,"4 garlic cloves, 3 left whole, 1 crushed",
63,2 bay leaves,
63,"1 tsp thyme leaf, chopped, plus extra to serve",
63,6 tbsp olive oil,
63,"100g good white bread, diced",
63,"100g cooking chorizo, skinned and chopped into small chunks",
63,"1 onion, sliced",
63,3 tsp paprika,
63,1l chicken stock,
63,"small handful parsley, chopped",
63,"6 hake fillets, about 125g/5oz each",
64,"1½ kg celeriac, peeled and cut into chunks",
64,200g smoked bacon lardon,
64,"250g cavolo nero or green cabbage, finely shredded",
64,50g butter,
64,4 tbsp double cream,
65,"800g carrot, halved and cut on the diagonal into 1cm pieces",
65,large knob of butter,
65,50g pine nut,
65,50g sultana,
65,large pinch of sugar,
65,"small handful parsley, chopped",
66,10 dark chocolate digestive biscuits,
66,"50g butter, melted",
66,"sunflower oil, for greasing",
66,100g golden caster sugar,
66,"100g chestnut pieces, roughly chopped",
66,435g can chestnut purée,
66,200g icing sugar,
66,3 tbsp dark rum,
66,300ml pot double cream,
66,140g golden caster sugar,
66,½ tsp vanilla extract,
66,"300g tub soft cheese, beaten until smooth",
67,a good beef fillet (preferably Aberdeen Angus) of around 1kg/2lb 4oz,
67,3 tbsp olive oil,
67,"250g/ 9oz chestnut mushroom, include some wild ones if you like",
67,50g/ 2oz butter,
67,1 large sprig fresh thyme,
67,100ml/ 3½ fl oz dry white wine,
67,12 slices prosciutto,
67,"500g/1lb 2oz pack puff pastry, thawed if frozen",
67,"a little flour, for dusting",
67,2 egg yolks beaten with 1 tsp water,
68,1½ kg small-ish Desirée potato,
68,"4 tbsp olive oil, plus extra for drizzling",
68,"6 spring onions, thinly sliced",
68,1 tbsp fresh thyme leaf,
68,2 tbsp salad cream,
68,4 tbsp soured cream,
69,2 chicken breasts,
69,200ml 0% fat Greek yogurt,
69,2 tsp mild curry powder,
69,juice ½ lemon,
69,"small handful mint leaves, most chopped",
69,"400g can chickpea, drained and rinsed",
69,"100g cherry tomato, quartered",
69,"1 small red onion, chopped",
69,"1 tbsp peanut, crushed",
70,1 tbsp olive oil,
70,"1 onion, chopped",
70,"350g pepper, deseeded and sliced",
70,1 tbsp ground cumin,
70,"1-3 tsp chilli powder, depending on how hot you want your chilli to be",
70,1 tbsp sweet smoked paprika,
70,400g can kidney bean in chilli sauce,
70,"400g can mixed bean, drained",
70,400g can chopped tomato,
70,"rice, to serve (optional)",
71,"1 onion, chopped",
71,1 tbsp olive oil,
71,"2 courgettes, sliced",
71,"1 aubergine, diced",
71,"450g fresh tomato, chopped (or a 400g can chopped tomatoes)",
71,200g risotto rice,
71,2 eggs,
71,"140g cheddar, grated",
72,4 x 150g thick line-caught skinless cod fillets,
72,"1 green chilli, finely chopped - seeds in or out, it's up to you",
72,"1 small ripe mango, finely diced",
72,1 tsp ground cumin,
72,"½ finger-length piece fresh root ginger, grated",
72,"large handful mint leaves, shredded",
72,1 tbsp mango chutney,
72,juice ½ lime,
72,85g crustless stale white bread,
72,1 tsp garam masala,
72,½ tsp turmeric,
72,1 tbsp olive oil,
73,12 sheets filo pastry,
73,"100g butter, melted",
73,"250g brie, cut into 18 chunky fingers",
73,18 tsp cranberry sauce,
73,"50g walnuts, roughly chopped",
73,sprinkling of poppy seeds,
74,"350g self-raising flour, plus extra for dusting",
74,1 tsp bicarbonate of soda,
74,"85g butter, diced, plus extra to serve",
74,"200g extra-mature cheddar, grated",
74,284ml pot buttermilk,
74,"6 heaped tsp onion chutney, plus extra to serve",
75,12 large beef or British veal meatballs,
75,"85g cheddar, grated",
75,6 mini rolls,
75,few tbsp smoky barbecue sauce - chipotle if you can get it,
75,few small rings red onion,
75,"few mini cornichons, sliced",
76,"500g potato, cut into chunks",
76,"85g broccoli, cut into small florets",
76,pack of 2 poached salmon fillets,
76,"juice 1 lemon, plus wedges to serve",
76,"small bunch dill, chopped",
76,1 tbsp sunflower oil,
76,1 tbsp Dijon mustard,
76,"1 avocado, peeled, stoned and roughly chopped",
76,"100g cherry tomato, halved",
76,100g bag watercress,
77,2 x 500g blocks all-butter puff pastry,
77,"plain flour, for dusting",
77,"1 egg, beaten",
77,2 tbsp butter,
77,"1 leek, finely sliced",
77,"100g gammon, chopped",
77,"4 sausages, skins removed",
77,"5 sage leaves, chopped",
77,85g fresh breadcrumbs,
77,2 turkey breasts,
77,"200g brie, sliced",
77,4-5 tbsp cranberry sauce,
78,"175g new potato, halved (Charlotte would work well)",
78,"1 medium onion, thinly sliced",
78,"2 slices lemon, chopped",
78,"2 garlic cloves, roughly chopped",
78,1 tsp ground cumin,
78,1 tsp ground cinnamon,
78,450ml chicken stock,
78,"large skinless, boneless chicken thighs, trimmed of all fat and cut into cubes",
78,½ x 410g can chickpea,
78,"handful fresh coriander, chopped",
79,250g ginger snap biscuit,
79,"100g butter, melted",
79,250g ricotta,
79,250g cream cheese,
79,200g soured cream,
79,3 large eggs,
79,250g caster sugar,
79,1 level tbsp cornflour,
79,1 tsp vanilla extract,
79,"1 lemon, finely grated rind and juice",
79,150ml double cream,
79,"2-4 tbsp lemon curd or fresh raspberries, to decorate",
80,32 mini meringues,
80,300ml double cream,
80,"2 tbsp icing sugar, plus extra for dusting",
80,16 tsp sweetened chestnut purée,
81,"300g green bean, trimmed",
81,"2 garlic cloves, sliced",
81,2 tbsp olive oil,
82,1 vanilla pod,
82,1 bottle red wine,
82,225g caster sugar,
82,"1 cinnamon stick, halved",
82,"fresh thyme sprig, plus sprigs to seve",
82,"6 pears, peeled, but kept whole with stalk intact",
83,500g bag new potato,
83,1 tbsp olive oil,
83,sea salt,
83,75ml half-fat soured cream,
83,"small bunch chives, snipped",
84,"200g mixed green vegetable (we used asparagus, broad beans and spring onions)",
84,700ml hot vegetable stock,
84,"140g cooked pasta (spaghetti works well, chopped into small pieces)",
84,"215g can butter beans, rinsed and drained",
84,3 tbsp green pesto,
85,"4 leeks, trimmed and thickly sliced",
85,"8 rashers smoked streaky bacon, chopped",
85,1½ l hot chicken stock,
85,"2 sprigs rosemary, needles finely chopped",
85,200g pasta shapes,
86,"150g thin-cut frying steak, very thinly sliced",
86,1 tsp mild chilli powder,
86,2 good pinches of ground cumin,
86,"2 garlic cloves, finely chopped",
86,2 tsp sunflower oil,
86,"1 yellow pepper, deseeded, quartered and sliced",
86,"1 red onion, thinly sliced",
86,"2 tomatoes, chopped",
86,"400g can black bean, drained",
86,good handful fresh coriander,
86,4 value soft tortilla wraps,
87,500ml cider vinegar or white wine vinegar,
87,400g brown sugar (any brown sugar will work),
87,1 tbsp mixed spice,
87,2 tbsp yellow mustard seed,
87,1 cinnamon stick,
87,"4 onions, chopped",
87,"1kg courgettes, diced",
87,"1kg tomatoes, chopped",
87,"4 eating apples, peeled and diced",
87,300g sultana,
88,"700g leeks, finely sliced",
88,3 tbsp olive oil,
88,2 tbsp wholegrain mustard,
88,2 tbsp clear honey,
88,juice of half a lemon,
88,"250g pack cherry tomatoes, halved",
88,"4 skinless salmon fillets, about 175g/6oz each",
89,1 tbsp sunflower oil,
89,"1 onion, chopped",
89,"4 celery sticks, thickly sliced",
89,400g can plum tomato,
89,1 tbsp harissa,
89,"2 large courgettes, halved lengthways and thickly sliced",
89,"400g can chickpea, drained",
89,1 vegetable stock cube,
89,"25g butter, diced",
89,200g self-raising flour,
89,1 tsp baking powder,
89,"75g extra mature cheddar, finely grated",
89,100ml milk,
90,145g pack pizza base mix (or same weight of bread mix),
90,2 tbsp tomato purée,
90,"185g can tuna in oil, drained, oil reserved",
90,"plain flour, for dusting",
90,1 tbsp caper,
90,125g pack value mozzarella,
90,10 pitted black kalamata olives,
90,"1 small red onion, halved and thinly sliced",
90,small handful rocket,
91,6 eggs,
91,"2 tsp pesto, or 1 tsp mustard or harissa, or 2 tbsp fresh chopped herbs of your choice",
91,"large handful leftovers such as grated cheese, chopped ham, chorizo, sliced sausage, cooked bacon rashers, tuna or smoked salmon",
91,"3 spring onions, finely chopped",
91,125g cooked pasta or 200g chopped cooked potato,
91,"handful veg such as frozen spinach or peas, canned corn, roasted peppers, fried courgettes or mushrooms",
91,1½ tbsp vegetable oil,
91,"tomato salad, to serve (optional)",
92,125g gluten-free plain flour (we used Doves Farm),
92,"egg replacer, equivalent to 1 whole egg (we used Orgran No Egg) mixed with 2 tbsp water",
92,250ml hemp or coconut milk (we tried Good Hemp and Koko),
92,"sunflower or rice bran oil, for frying",
92,"orange segments and agave syrup, to serve",
93,175g plain flour,
93,"100g chilled butter, cubed",
93,85g icing sugar,
93,1 tsp vanilla extract,
